Model,Accuracy,Precision,Recall,F1-Score
resnet50,0.7833333333333333,0.8107736050728989,0.7833333333333333,0.7755765871224836
vgg16,0.725,0.7958275370959195,0.725,0.6965269764505758
efficientnet,0.55,0.593786365120761,0.55,0.49004146185428427
custom_cnn,0.24583333333333332,0.0831074212131481,0.24583333333333332,0.10789461123574054
